Wiemers,Tolman
Satyridae Erebia polaris,Erebia polaris
Satyridae Erebia medusa medusa,Erebia medusa
Satyridae Erebia triaria triaria,Erebia triarius
Satyridae Erebia alberganus,Erebia albergana
Satyridae Erebia pandrose,Erebia pandrose
Satyridae Erebia sthennyo,Erebia sthennyo
Satyridae Erebia pluto pluto,Erebia pluto
Satyridae Erebia gorge,Erebia gorge
Satyridae Erebia flavofasciata,Erebia flavofasciata
Satyridae Erebia aethiops,Erebia aethiops
Satyridae Erebia gorgone,Erebia gorgone
Satyridae Erebia aethiopella,Erebia aethiopella
Satyridae Erebia mnestra,Erebia mnestra
Satyridae Erebia rhodopensis,Erebia rhodopensis
Satyridae Erebia oeme oeme,Erebia oeme
Satyridae Erebia pronoe pronoe,Erebia pronoe
Satyridae Erebia stirius,Erebia stiria
Satyridae Erebia styx styx,Erebia styx
Satyridae Erebia montana montana,Erebia montana
Satyridae Erebia zapateri,Erebia zapateri
Satyridae Erebia neoridas,Erebia neoridas
Satyridae Erebia lefebvrei lefebvrei,Erebia lefebvrei
Satyridae Erebia scipio,Erebia scipio
Satyridae Erebia melas schanerdae,Erebia melas
Satyridae Erebia euryale euryale,Erebia euryale
Satyridae Erebia ligea,Erebia ligea
Satyridae Erebia eriphyle,Erebia eriphyle
Satyridae Erebia manto manto,Erebia manto
Satyridae Erebia sudetica sudetica,Erebia sudetica
Satyridae Erebia melampus,Erebia melampus
Satyridae Erebia hispania,Erebia hispania
Satyridae Erebia cassioides,Erebia cassioides
Satyridae Erebia tyndarus,Erebia tyndarus
Satyridae Erebia nivalis,Erebia nivalis
Satyridae Erebia calcaria,Erebia calcarius
Satyridae Erebia ottomana,Erebia ottomana
Satyridae Erebia disa,Erebia disa
Satyridae Erebia embla,Erebia embla
Satyridae Proterebia afra,Proterebia phegea
Satyridae Ypthima asterope,Ypthima asterope
